date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:48:33	20567/20567	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202019%2006:07:02%20GMT	https://www.2brains.az/css/style.css	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/style.css	(from https://www.2brains.az/)
01:48:33	44005/44005	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202019%2006:07:04%20GMT	https://www.2brains.az/css/icons/linea.css	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/icons/linea.css	(from https://www.2brains.az/)
01:48:34	17747/17747	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Mar%202019%2006:07:35%20GMT	https://www.2brains.az/svg/logo.svg	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/svg/logo.svg	(from https://www.2brains.az/)
01:48:35	44749/44749	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:30%20GMT	https://www.2brains.az/js/plugins/bootstrap.min.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/bootstrap.min.js	(from https://www.2brains.az/)
01:48:35	145245/145245	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202019%2006:07:06%20GMT	https://www.2brains.az/css/plugins/bootstrap.min.css	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/plugins/bootstrap.min.css	(from https://www.2brains.az/)
01:48:36	8487/8487	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:32%20GMT	https://www.2brains.az/js/plugins/scrollreveal.min.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/scrollreveal.min.js	(from https://www.2brains.az/)
01:48:36	2375/2375	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:30%20GMT	https://www.2brains.az/js/plugins/contact-form.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/contact-form.js	(from https://www.2brains.az/)
01:48:37	1933/1933	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:31%20GMT	https://www.2brains.az/js/plugins/newsletter-form.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/newsletter-form.js	(from https://www.2brains.az/)
01:48:37	3409/3409	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:31%20GMT	https://www.2brains.az/js/plugins/jquery.ajaxchimp.min.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/jquery.ajaxchimp.min.js	(from https://www.2brains.az/)
01:48:38	5629/5629	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:31%20GMT	https://www.2brains.az/js/plugins/jquery.countdown.min.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/jquery.countdown.min.js	(from https://www.2brains.az/)
01:48:38	130520/130520	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:31%20GMT	https://www.2brains.az/js/plugins/jquery1.11.2.min.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/jquery1.11.2.min.js	(from https://www.2brains.az/)
01:48:39	21008/21008	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:32%20GMT	https://www.2brains.az/js/plugins/Projector.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/Projector.js	(from https://www.2brains.az/)
01:48:39	26199/26199	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:30%20GMT	https://www.2brains.az/js/plugins/CanvasRenderer.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/CanvasRenderer.js	(from https://www.2brains.az/)
01:48:40	38769/38769	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:29%20GMT	https://www.2brains.az/js/custom.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/custom.js	(from https://www.2brains.az/)
01:48:43	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2015%20Mar%202019%2006:07:10%20GMT	https://www.2brains.az/fonts/font-awesome/fontawesome-webfont-.eot	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/font-awesome/fontawesome-webfont-.eot	(from https://www.2brains.az/css/icons/font-awesome.css)
01:48:44	77160/77160	---M--	200	added ('OK')	font/woff2	date:Fri,%2015%20Mar%202019%2006:07:12%20GMT	https://www.2brains.az/fonts/font-awesome/fontawesome-webfont-v=4.7.0.woff2	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/font-awesome/fontawesome-webfont-v=4.7.0.woff2	(from https://www.2brains.az/css/icons/font-awesome.css)
01:48:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2015%20Mar%202019%2006:07:10%20GMT	https://www.2brains.az/fonts/font-awesome/fontawesome-webfont-v=4.7.0.eot	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/font-awesome/fontawesome-webfont-v=4.7.0.eot	(from https://www.2brains.az/css/icons/font-awesome.css)
01:48:45	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2015%20Mar%202019%2006:07:11%20GMT	https://www.2brains.az/fonts/font-awesome/fontawesome-webfont-v=4.7.0.woff	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/font-awesome/fontawesome-webfont-v=4.7.0.woff	(from https://www.2brains.az/css/icons/font-awesome.css)
01:48:45	503069/503069	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2006:07:33%20GMT	https://www.2brains.az/js/plugins/three.min.js	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/js/plugins/three.min.js	(from https://www.2brains.az/)
01:48:46	124900/124900	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2015%20Mar%202019%2006:07:14%20GMT	https://www.2brains.az/fonts/linea/linea.eot	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/linea/linea.eot	(from https://www.2brains.az/css/icons/linea.css)
01:48:46	124900/124900	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2015%20Mar%202019%2006:07:14%20GMT	https://www.2brains.az/fonts/linea/linea-.eot	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/linea/linea-.eot	(from https://www.2brains.az/css/icons/linea.css)
01:48:47	46112/46112	---M--	200	added ('OK')	font/woff	date:Fri,%2015%20Mar%202019%2006:07:15%20GMT	https://www.2brains.az/fonts/linea/linea.woff	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/linea/linea.woff	(from https://www.2brains.az/css/icons/linea.css)
01:48:47	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Mar%202019%2006:07:12%20GMT	https://www.2brains.az/fonts/font-awesome/fontawesome-webfont-v=4.7.0.svg	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/font-awesome/fontawesome-webfont-v=4.7.0.svg	(from https://www.2brains.az/css/icons/font-awesome.css)
01:48:48	124744/124744	---M--	200	added ('OK')	font/ttf	date:Fri,%2015%20Mar%202019%2006:07:15%20GMT	https://www.2brains.az/fonts/linea/linea.ttf	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/fonts/linea/linea.ttf	(from https://www.2brains.az/css/icons/linea.css)
01:48:48	547/547	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2006:07:07%20GMT	https://www.2brains.az/css/icons/photoswipe/icons.png	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/icons/photoswipe/icons.png	(from https://www.2brains.az/css/icons/photoswipe/icons.css)
